Month,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,Other Territories,Total (State of residence/stay)
2024-05-01,224370,155240,122910,15590,65820,5060,4540,7230,20,600780
2024-06-01,209940,154820,130370,15350,62120,3720,5120,6260,60,587760
2024-07-01,234450,161390,171360,15820,56420,3900,6740,8810,80,658970
2024-08-01,240840,153480,164980,17490,63790,4550,5050,8610,10,658810
2024-09-01,233670,151000,141630,17950,67930,4230,4820,9370,80,630700
2024-10-01,255470,166600,148340,16700,74020,5640,3940,6650,60,677410
2024-11-01,260180,177810,136530,21030,77210,8910,4490,9110,90,695360
2024-12-01,358290,258030,176290,28540,97540,12400,3870,10240,80,945280
2025-01-01,272580,204090,126180,21200,67670,8960,2580,6740,40,710040
2025-02-01,319280,209460,134150,25380,74760,9670,2910,12090,60,787770
2025-03-01,286400,212550,133990,24250,81900,9540,4490,8050,50,761230
2025-04-01,235560,169350,131390,19860,68340,5310,3970,7300,60,641150
2025-05-01,227360,151600,129320,18610,67990,5320,4840,6120,10,611180
2025-06-01,217640,152730,148830,15680,70570,4990,7090,6950,30,624510
