Unnamed: 0,Country/Continent,Arrivals,gdp_per_capita,gdp,inflation,unemployment,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,Exchange Rate/TWI,date,TWI,FX_neg,TWI_est
228,New Zealand,67980,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.2550308648853431,0.2102823524168208,0.2048224990528825,0.1046731887772157,0.045483921288971,0.078443607514541,0.1012635660642257,0.01638029016514,0.0912170444162153,0.2369459116132914,0.4589601301508769,0.0422767489024091,0.1046778542934189,0.0495420204586481,1795.0,275024.0,328127.0,1795.0,251781.0,330531.0,1.2662,2010-01-01,69.2,-4.237000862623624,69.2
229,New Zealand,69080,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.277007123346366,0.2419259814685876,0.1828504097263135,0.0878903111777623,0.0290111224180101,0.0744112973773945,0.1069037544855658,0.0250120507739274,0.0967811043864817,0.2107724992412475,0.4670701444307572,0.0315641011907949,0.1306303893738953,0.0381697106028957,1546.0,213636.0,281230.0,1552.0,222392.0,284866.0,1.2828,2010-02-01,69.5,-4.241326752570746,69.5
230,New Zealand,86440,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.3076966921893109,0.2393935363745178,0.2158151729903292,0.0897345771664165,0.0282902361636235,0.0550035149050975,0.0640662702107043,0.0271502669427925,0.1116029867193585,0.2647768510250223,0.4622955180210134,0.032052134592366,0.0602093743468926,0.0419128683525544,1717.0,249998.0,312527.0,1715.0,231066.0,314324.0,1.2905,2010-03-01,71.7,-4.272490747605574,71.7
231,New Zealand,97400,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.3298671018885521,0.282839822802518,0.1818139426439729,0.0729307530892982,0.0300303100955933,0.0517136861739333,0.0508043833061319,0.0341571461879225,0.1104453252506411,0.2741897878293308,0.4567498251340638,0.0343903007694101,0.0448822569363488,0.0451853578922825,1635.0,241198.0,299710.0,1631.0,217341.0,301032.0,1.2828,2010-04-01,72.5,-4.283586561860629,72.5
232,New Zealand,85720,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.3702696215697256,0.2561538256393845,0.1690001866816012,0.071072352454863,0.0309891457983305,0.054057657945969,0.0484572099101261,0.0394185891452193,0.1504733964528603,0.2488331777570342,0.4425390052006934,0.0358714495266035,0.0353113748499799,0.047553007067609,1596.0,194667.0,284026.0,1600.0,186190.0,286617.0,1.243,2010-05-01,67.5,-4.212127597878484,67.5
233,New Zealand,96400,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.3161258360168442,0.2649987614565271,0.1870943770126331,0.088332920485509,0.0398067872182313,0.0536289323755263,0.0500123854347287,0.0468664850136239,0.1155561060193212,0.2563289571463958,0.450458261084964,0.0363884072330938,0.0499628436958137,0.0444389398067872,1582.0,188478.0,281431.0,1582.0,192131.0,283269.0,1.2308,2010-06-01,67.3,-4.209160236650682,67.3
234,New Zealand,114220,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.2537921045935842,0.2427534104476151,0.2100874875227526,0.1040259918188401,0.0328616444522733,0.0809112794316246,0.0755680817333098,0.0393603695294762,0.0959445705785641,0.2190166758005167,0.435351914194003,0.0307093086980349,0.1352070774289517,0.0444100837704533,1750.0,246032.0,310522.0,1747.0,238720.0,311866.0,1.2455,2010-07-01,69.4,-4.239886867512759,69.4
235,New Zealand,98670,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.327114400301345,0.2704349560169285,0.1989098402428486,0.0698189714387006,0.0239746515698743,0.0581418537147415,0.0516053267155613,0.0393299505882874,0.1179455363275797,0.2379074250515166,0.4761029004453701,0.033236577961933,0.0530455784272451,0.0424320311980678,1737.0,223025.0,310532.0,1740.0,225869.0,313005.0,1.2727,2010-08-01,69.0,-4.23410650459726,69.0
236,New Zealand,116500,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.3050159771274807,0.278548604103599,0.1930079044735957,0.0762277161116717,0.0305877901109989,0.0577489068281197,0.0588631012445341,0.0396064581231079,0.1047132526067944,0.2544567776656576,0.481878573831147,0.0355280861083081,0.037567272115708,0.0462495795492768,1659.0,226078.0,297945.0,1657.0,229364.0,300300.0,1.3131,2010-09-01,72.9,-4.289088639014612,72.9
237,New Zealand,113400,33761.9009639947,146887902524.052,2.30202385958572,6.557,0.3198980726838837,0.2533015147531701,0.1934798875563735,0.086678666046474,0.0350274030780431,0.0561409185592654,0.05547353732279,0.0354521002285275,0.1145266649139482,0.250894897567092,0.4773798208182498,0.0331263777377798,0.0401237688838554,0.048496369850547,1687.0,240744.0,306487.0,1681.0,249125.0,308007.0,1.2961,2010-10-01,72.7,-4.286341384539473,72.7
