Month,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Total (Duration of stay in days),Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,Total (Reason for Journey)
1993-12-01,80590,101260,79520,50740,12790,11820,7330,344040,2240,16200,84910,224360,2020,2220,12090,344040
1994-01-01,74310,67680,42980,27030,10240,11690,16600,250530,1620,19840,42230,158410,3570,13140,11710,250530
1994-02-01,87870,97490,49500,30150,9170,10710,19400,304280,3950,29110,43600,197140,2580,16600,11290,304280
1994-03-01,89960,104860,59170,29470,7970,8200,7770,307400,5890,31010,53810,198130,2410,3800,12350,307400
1994-04-01,80340,84160,44440,22540,6840,7830,8990,255130,5230,28060,41990,159660,3050,6600,10530,255130
1994-05-01,77130,71870,33320,14660,5080,6570,6310,214940,2860,28760,31860,136890,2100,3460,9020,214940
1994-06-01,81630,66650,38880,21050,7950,7710,7060,230940,3070,25870,38460,148020,1910,4570,9030,230940
1994-07-01,78360,74180,60580,35850,9690,10100,13760,282510,5000,27410,44460,176030,2850,15380,11390,282510
1994-08-01,89770,86800,49990,20130,4680,5930,8140,265430,3360,26680,36590,180890,2610,3930,11370,265430
1994-09-01,77010,80510,47010,23330,6240,9560,10310,253970,10960,25610,47920,147650,1380,4420,16040,253970
1994-10-01,83640,98810,55990,30320,9300,11740,11790,301590,10820,29750,55660,180590,1710,6380,16690,301590
1994-11-01,93900,100100,52810,27560,11610,14840,10180,311000,8750,32010,61950,188450,1500,2640,15690,311000
1994-12-01,86710,118160,89430,55760,12520,13170,8260,384010,3420,17810,106480,237110,1350,2460,15370,384010
1995-01-01,91310,89690,50990,31710,10910,12700,16440,303760,3070,21130,54810,189210,2350,12350,20830,303760
1995-02-01,90850,99500,53940,30480,9650,12430,22190,319050,8600,29090,54960,185790,1570,20420,18620,319050
1995-03-01,100690,103400,54260,28670,8110,9350,9070,313540,7560,33620,56270,193960,1890,4210,16030,313540
1995-04-01,88390,95480,55490,26640,8590,9920,9640,294160,5580,26840,62810,175430,1880,6800,14820,294160
1995-05-01,93720,77820,37130,15840,4600,7890,7820,244810,6780,29940,38070,150620,1670,3800,13940,244810
1995-06-01,90660,76410,45210,22270,9230,9200,8470,261440,6590,25270,48130,157310,1900,5780,16460,261440
1995-07-01,95160,89900,67480,37830,10130,12120,17120,329740,9530,33720,53370,193710,1860,19620,17920,329740
1995-08-01,103030,101690,57600,20940,5040,8840,7770,304900,7870,40360,44810,190720,1660,4550,14940,304900
1995-09-01,85690,83490,47760,22970,6640,10280,11740,268570,9450,28830,52630,154660,1750,5540,15700,268570
1995-10-01,92740,104350,56750,30480,10180,12900,13260,320660,12150,33710,57280,191740,1950,7640,16190,320660
