year_month,state,arrivals
2003-07,TAS,1310
2003-07,ACT,4560
2003-07,NT,5390
2003-07,WA,35980
2003-07,VIC,63160
2003-07,SA,10140
2003-08,NSW,138100
2003-08,QLD,121170
2003-08,TAS,1580
2003-08,ACT,3040
2003-08,NT,5060
2003-08,WA,32510
2003-08,VIC,52890
2003-08,SA,7880
2003-09,NSW,147840
2003-09,QLD,119910
2003-09,TAS,2220
2003-09,ACT,3360
2003-09,NT,5000
2003-09,WA,41130
2003-09,VIC,57630
2003-09,SA,8510
2003-10,NSW,167670
2003-10,QLD,123400
2003-10,TAS,2360
2003-10,ACT,4910
2003-10,NT,4790
2003-10,WA,48570
2003-10,VIC,73630
2003-10,SA,9900
2003-11,NSW,195020
2003-11,QLD,127950
2003-11,TAS,3810
2003-11,ACT,4270
2003-11,NT,3780
2003-11,WA,44670
2003-11,VIC,83350
2003-11,SA,10310
2003-12,NSW,229690
2003-12,QLD,142290
2003-12,TAS,5970
2003-12,ACT,5670
2003-12,NT,3840
2003-12,WA,59430
2003-12,VIC,104110
2003-12,SA,15220
2004-01,NSW,165800
2004-01,QLD,117420
2004-01,TAS,4390
2004-01,ACT,4550
2004-01,NT,3310
2004-01,WA,39680
2004-01,VIC,74140
2004-01,SA,10870
2004-02,NSW,183590
2004-02,QLD,113410
2004-02,TAS,6580
2004-02,ACT,5690
2004-02,NT,3380
2004-02,WA,43010
2004-02,VIC,86430
2004-02,SA,12730
2004-03,NSW,168630
2004-03,QLD,114230
2004-03,TAS,3520
2004-03,ACT,4290
2004-03,NT,3180
2004-03,WA,43070
2004-03,VIC,83340
2004-03,SA,12000
2004-04,NSW,157720
2004-04,QLD,115940
2004-04,TAS,2240
2004-04,ACT,4870
2004-04,NT,3060
2004-04,WA,38390
2004-04,VIC,69800
2004-04,SA,10770
2004-05,NSW,134780
2004-05,QLD,106560
2004-05,TAS,1390
2004-05,ACT,3430
2004-05,NT,4750
2004-05,WA,27610
2004-05,VIC,55640
2004-05,SA,7090
2004-06,NSW,133860
2004-06,QLD,127730
2004-06,TAS,1450
2004-06,ACT,3740
2004-06,NT,5310
2004-06,WA,29430
2004-06,VIC,59830
2004-06,SA,5910
2004-07,NSW,171830
2004-07,QLD,158110
2004-07,TAS,1900
2004-07,ACT,5140
2004-07,NT,6530
2004-07,WA,35550
2004-07,VIC,77410
2004-07,SA,11090
2004-08,NSW,153030
2004-08,QLD,137040
2004-08,TAS,1460
2004-08,ACT,3260
2004-08,NT,6810
2004-08,WA,32460
2004-08,VIC,61030
2004-08,SA,7960
2004-09,NSW,143770
2004-09,QLD,132640
2004-09,TAS,1770
2004-09,ACT,3730
2004-09,NT,6850
2004-09,WA,35660
2004-09,VIC,60610
2004-09,SA,8490
2004-10,NSW,170030
2004-10,QLD,136120
2004-10,TAS,2170
2004-10,ACT,3580
2004-10,NT,5900
2004-10,WA,41830
2004-10,VIC,77520
2004-10,SA,10220
2004-11,NSW,184890
2004-11,QLD,134390
2004-11,TAS,3250
2004-11,ACT,3370
2004-11,NT,4090
2004-11,WA,48850
2004-11,VIC,88740
2004-11,SA,10440
2004-12,NSW,235480
2004-12,QLD,153380
2004-12,TAS,5410
2004-12,ACT,5660
2004-12,NT,3210
2004-12,WA,62440
2004-12,VIC,108300
2004-12,SA,17510
2005-01,NSW,193910
2005-01,QLD,118720
2005-01,TAS,3170
2005-01,ACT,3860
2005-01,NT,3630
2005-01,WA,39560
2005-01,VIC,83440
2005-01,SA,10600
2005-02,NSW,201750
2005-02,QLD,123730
2005-02,TAS,4520
2005-02,ACT,4950
2005-02,NT,2880
2005-02,WA,48760
2005-02,VIC,99010
2005-02,SA,13190
2005-03,NSW,201640
2005-03,QLD,130010
2005-03,TAS,3260
2005-03,ACT,4120
2005-03,NT,3150
2005-03,WA,52030
2005-03,VIC,94600
2005-03,SA,13270
2005-04,NSW,163380
2005-04,QLD,117000
2005-04,TAS,2240
2005-04,ACT,4210
2005-04,NT,3330
2005-04,WA,36660
2005-04,VIC,69920
2005-04,SA,9840
2005-05,NSW,134080
2005-05,QLD,108240
2005-05,TAS,1470
2005-05,ACT,2720
2005-05,NT,5840
2005-05,WA,31850
2005-05,VIC,58870
2005-05,SA,8210
2005-06,NSW,141600
2005-06,QLD,128540
2005-06,TAS,1240
2005-06,ACT,2940
2005-06,NT,4450
2005-06,WA,32700
2005-06,VIC,58530
2005-06,SA,7020
2005-07,NSW,189340
2005-07,QLD,169640
2005-07,TAS,2210
2005-07,ACT,3940
2005-07,NT,6370
2005-07,WA,35660
2005-07,VIC,78380
2005-07,SA,11510
2005-08,NSW,162740
2005-08,QLD,147330
2005-08,TAS,1320
2005-08,ACT,2990
2005-08,NT,6510
2005-08,WA,33420
2005-08,VIC,66630
2005-08,SA,8320
2005-09,NSW,155720
2005-09,QLD,134860
2005-09,TAS,1760
2005-09,ACT,3910
2005-09,NT,5880
2005-09,WA,38770
2005-09,VIC,61210
2005-09,SA,9950
2005-10,NSW,175440
2005-10,QLD,136840
2005-10,TAS,2430
2005-10,ACT,3740
2005-10,NT,5040
2005-10,WA,45460
2005-10,VIC,82660
2005-10,SA,10260
2005-11,NSW,184280
2005-11,QLD,129270
2005-11,TAS,3250
2005-11,ACT,3630
2005-11,NT,4200
2005-11,WA,46470
2005-11,VIC,89110
2005-11,SA,10440
2005-12,NSW,237650
2005-12,QLD,151570
2005-12,TAS,5210
2005-12,ACT,5150
2005-12,NT,4330
2005-12,WA,64430
2005-12,VIC,113550
2005-12,SA,17360
2006-01,NSW,183220
2006-01,QLD,121930
2006-01,TAS,4470
2006-01,ACT,3660
2006-01,NT,3530
2006-01,WA,43620
2006-01,VIC,89970
2006-01,SA,10990
2006-02,NSW,199280
2006-02,QLD,116970
2006-02,TAS,4970
2006-02,ACT,4890
2006-02,NT,2800
2006-02,WA,46290
2006-02,VIC,94720
2006-02,SA,15080
2006-03,NSW,186520
2006-03,QLD,121600
2006-03,TAS,4050
2006-03,ACT,3850
2006-03,NT,3770
2006-03,WA,44130
2006-03,VIC,94890
2006-03,SA,14640
2006-04,NSW,174950
2006-04,QLD,120540
2006-04,TAS,2670
2006-04,ACT,3470
2006-04,NT,4590
2006-04,WA,40270
2006-04,VIC,76970
2006-04,SA,11570
2006-05,NSW,131030
2006-05,QLD,106050
2006-05,TAS,1350
2006-05,ACT,2660
2006-05,NT,5210
2006-05,WA,28130
2006-05,VIC,59980
2006-05,SA,8520
2006-06,NSW,139550
2006-06,QLD,130580
2006-06,TAS,1730
2006-06,ACT,3550
2006-06,NT,4510
2006-06,WA,29850
2006-06,VIC,61530
2006-06,SA,8360
2006-07,NSW,180390
2006-07,QLD,159900
2006-07,TAS,2090
2006-07,ACT,4880
2006-07,NT,7270
2006-07,WA,35510
2006-07,VIC,75910
2006-07,SA,12250
2006-08,NSW,153620
2006-08,QLD,136790
2006-08,TAS,1960
2006-08,ACT,2910
2006-08,NT,7400
2006-08,WA,31820
2006-08,VIC,65270
2006-08,SA,10430
2006-09,NSW,155370
2006-09,QLD,143670
2006-09,TAS,1820
2006-09,ACT,3590
2006-09,NT,5530
2006-09,WA,34090
2006-09,VIC,69370
2006-09,SA,10010
2006-10,NSW,184600
2006-10,QLD,134380
2006-10,TAS,3230
2006-10,ACT,3840
2006-10,NT,5440
2006-10,WA,48050
2006-10,VIC,81860
2006-10,SA,11500
2006-11,NSW,194160
2006-11,QLD,131770
2006-11,TAS,3340
2006-11,ACT,5220
2006-11,NT,4440
2006-11,WA,48530
2006-11,VIC,89920
2006-11,SA,12600
2006-12,NSW,250830
2006-12,QLD,152070
2006-12,TAS,5480
2006-12,ACT,5300
2006-12,NT,3300
2006-12,WA,74350
2006-12,VIC,128030
2006-12,SA,21490
2007-01,NSW,184170
2007-01,QLD,112290
2007-01,TAS,4080
2007-01,ACT,4280
2007-01,NT,3210
2007-01,WA,43150
2007-01,VIC,86480
2007-01,SA,13340
2007-02,NSW,207050
2007-02,QLD,120330
2007-02,TAS,5300
2007-02,ACT,4890
2007-02,NT,3570
2007-02,WA,51400
2007-02,VIC,101570
2007-02,SA,16070
2007-03,NSW,207800
2007-03,QLD,125380
2007-03,TAS,3960
2007-03,ACT,4180
2007-03,NT,3790
2007-03,WA,50500
2007-03,VIC,102970
2007-03,SA,21450
2007-04,NSW,174790
2007-04,QLD,116730
2007-04,TAS,2090
2007-04,ACT,3980
2007-04,NT,4250
2007-04,WA,43550
2007-04,VIC,77330
2007-04,SA,12230
2007-05,NSW,139620
2007-05,QLD,106120
2007-05,TAS,1560
2007-05,ACT,2900
2007-05,NT,6620
2007-05,WA,32990
2007-05,VIC,66720
2007-05,SA,8210
2007-06,NSW,146460
2007-06,QLD,131890
2007-06,TAS,1670
2007-06,ACT,2780
2007-06,NT,4700
2007-06,WA,32460
2007-06,VIC,70080
2007-06,SA,7920
2007-07,NSW,181440
2007-07,QLD,153830
2007-07,TAS,2150
2007-07,ACT,5600
2007-07,NT,8670
2007-07,WA,38730
2007-07,VIC,78660
2007-07,SA,13710
2007-08,NSW,163070
2007-08,QLD,139900
2007-08,TAS,1610
2007-08,ACT,3980
2007-08,NT,7800
2007-08,WA,38250
2007-08,VIC,70250
2007-08,SA,9890
2007-09,NSW,161210
2007-09,QLD,140060
2007-09,TAS,2180
2007-09,ACT,4170
2007-09,NT,6760
2007-09,WA,41810
2007-09,VIC,66300
2007-09,SA,11610
2007-10,NSW,175810
2007-10,QLD,135910
2007-10,TAS,2130
2007-10,ACT,4650
2007-10,NT,6780
2007-10,WA,47830
2007-10,VIC,82560
2007-10,SA,13170
2007-11,NSW,196010
2007-11,QLD,130630
2007-11,TAS,3060
2007-11,ACT,5130
2007-11,NT,5160
2007-11,WA,51610
2007-11,VIC,93610
2007-11,SA,14000
2007-12,NSW,243200
2007-12,QLD,148830
2007-12,TAS,4800
2007-12,ACT,5950
2007-12,NT,5150
2007-12,WA,70380
2007-12,VIC,116900
2007-12,SA,19530
2008-01,NSW,182160
2008-01,QLD,105440
2008-01,TAS,3670
2008-01,ACT,4250
2008-01,NT,3770
2008-01,WA,42640
2008-01,VIC,85100
2008-01,SA,13560
2008-02,NSW,226880
2008-02,QLD,126730
2008-02,TAS,5600
2008-02,ACT,5930
2008-02,NT,3600
2008-02,WA,53600
2008-02,VIC,107130
2008-02,SA,16920
2008-03,NSW,204300
2008-03,QLD,122080
2008-03,TAS,3780
2008-03,ACT,5150
2008-03,NT,4070
2008-03,WA,54880
2008-03,VIC,102600
2008-03,SA,16830
2008-04,NSW,166570
2008-04,QLD,110660
2008-04,TAS,2530
2008-04,ACT,3900
2008-04,NT,4550
2008-04,WA,42240
2008-04,VIC,81270
2008-04,SA,12590
2008-05,NSW,144200
2008-05,QLD,112620
2008-05,TAS,1990
2008-05,ACT,3220
2008-05,NT,6990
2008-05,WA,33020
2008-05,VIC,69490
2008-05,SA,8510
2008-06,NSW,138310
2008-06,QLD,117720
2008-06,TAS,1800
2008-06,ACT,3770
2008-06,NT,10130
2008-06,WA,35090
2008-06,VIC,66120
2008-06,SA,9520
2008-07,NSW,217450
2008-07,QLD,149300
2008-07,TAS,2030
2008-07,ACT,6430
2008-07,NT,11190
2008-07,WA,40220
2008-07,VIC,90180
2008-07,SA,13650
2008-08,NSW,158180
2008-08,QLD,131570
2008-08,TAS,2180
2008-08,ACT,4600
2008-08,NT,7820
2008-08,WA,34770
2008-08,VIC,67240
2008-08,SA,12400
2008-09,NSW,146090
2008-09,QLD,123350
2008-09,TAS,1920
2008-09,ACT,3770
2008-09,NT,7440
2008-09,WA,39330
2008-09,VIC,67740
2008-09,SA,10370
2008-10,NSW,166460
2008-10,QLD,139450
2008-10,TAS,2340
2008-10,ACT,4630
2008-10,NT,5810
2008-10,WA,44770
2008-10,VIC,80090
2008-10,SA,12190
2008-11,NSW,178360
2008-11,QLD,120880
2008-11,TAS,3380
2008-11,ACT,5730
2008-11,NT,6960
2008-11,WA,48730
2008-11,VIC,93140
2008-11,SA,13150
2008-12,NSW,241970
2008-12,QLD,141350
2008-12,TAS,5840
2008-12,ACT,5520
2008-12,NT,5150
2008-12,WA,68970
2008-12,VIC,124840
2008-12,SA,18170
2009-01,NSW,181760
2009-01,QLD,105990
2009-01,TAS,4570
2009-01,ACT,4780
2009-01,NT,3880
2009-01,WA,47110
2009-01,VIC,90440
2009-01,SA,13370
2009-02,NSW,203630
2009-02,QLD,107680
2009-02,TAS,5000
2009-02,ACT,6920
2009-02,NT,4110
2009-02,WA,52590
2009-02,VIC,105170
2009-02,SA,16660
2009-03,NSW,190670
2009-03,QLD,112120
2009-03,TAS,4580
2009-03,ACT,4610
2009-03,NT,3860
2009-03,WA,53130
2009-03,VIC,102640
2009-03,SA,15210
2009-04,NSW,177100
2009-04,QLD,116040
2009-04,TAS,3130
2009-04,ACT,4340
2009-04,NT,5290
2009-04,WA,46780
2009-04,VIC,88290
2009-04,SA,11870
2009-05,NSW,136490
2009-05,QLD,105920
2009-05,TAS,1970
2009-05,ACT,3560
2009-05,NT,7000
2009-05,WA,37780
2009-05,VIC,70830
2009-05,SA,9380
2009-06,NSW,128640
2009-06,QLD,108070
2009-06,TAS,1650
2009-06,ACT,3880
2009-06,NT,6930
2009-06,WA,37710
2009-06,VIC,66130
2009-06,SA,9270
2009-07,NSW,164190
2009-07,QLD,135840
2009-07,TAS,1840
2009-07,ACT,5940
2009-07,NT,12080
2009-07,WA,41910
2009-07,VIC,82930
2009-07,SA,14230
2009-08,NSW,156840
2009-08,QLD,123710
2009-08,TAS,1890
2009-08,ACT,4360
2009-08,NT,7360
2009-08,WA,37590
2009-08,VIC,71940
2009-08,SA,9460
2009-09,NSW,157060
2009-09,QLD,128250
2009-09,TAS,2370
2009-09,ACT,4540
2009-09,NT,7490
2009-09,WA,48360
2009-09,VIC,76720
2009-09,SA,12500
2009-10,NSW,183700
2009-10,QLD,138330
2009-10,TAS,2720
2009-10,ACT,4200
2009-10,NT,6250
2009-10,WA,46880
2009-10,VIC,90440
2009-10,SA,12310
2009-11,NSW,181810
2009-11,QLD,124050
2009-11,TAS,2880
2009-11,ACT,5170
2009-11,NT,5310
2009-11,WA,55210
2009-11,VIC,96670
2009-11,SA,14130
2009-12,NSW,259890
2009-12,QLD,142670
2009-12,TAS,5630
2009-12,ACT,5800
2009-12,NT,4970
2009-12,WA,70670
2009-12,VIC,139620
2009-12,SA,20110
2010-01,NSW,184810
2010-01,QLD,99120
2010-01,TAS,3610
2010-01,ACT,5400
2010-01,NT,3920
2010-01,WA,45680
2010-01,VIC,93510
2010-01,SA,12670
2010-02,NSW,224490
2010-02,QLD,122950
2010-02,TAS,5620
2010-02,ACT,7320
2010-02,NT,4640
2010-02,WA,54970
2010-02,VIC,122730
2010-02,SA,17400
2010-03,NSW,204450
2010-03,QLD,120730
2010-03,TAS,4300
2010-03,ACT,5660
2010-03,NT,4030
2010-03,WA,57020
2010-03,VIC,112440
2010-03,SA,17700
2010-04,NSW,165850
2010-04,QLD,106910
2010-04,TAS,2190
2010-04,ACT,4120
2010-04,NT,5010
2010-04,WA,45310
2010-04,VIC,85570
2010-04,SA,13910
2010-05,NSW,144250
2010-05,QLD,96990
2010-05,TAS,1920
2010-05,ACT,3630
2010-05,NT,5750
2010-05,WA,36720
2010-05,VIC,75900
2010-05,SA,9780
2010-06,NSW,144480
2010-06,QLD,117670
2010-06,TAS,1930
2010-06,ACT,4130
2010-06,NT,5770
2010-06,WA,39580
2010-06,VIC,79790
2010-06,SA,10340
2010-07,NSW,182360
2010-07,QLD,154640
2010-07,TAS,2430
2010-07,ACT,6270
2010-07,NT,8320
2010-07,WA,42390
2010-07,VIC,99920
2010-07,SA,14590
2010-08,NSW,166860
2010-08,QLD,131470
2010-08,TAS,1610
2010-08,ACT,5140
2010-08,NT,8960
2010-08,WA,40130
2010-08,VIC,86850
2010-08,SA,10270
2010-09,NSW,173780
2010-09,QLD,132320
2010-09,TAS,2250
2010-09,ACT,3960
2010-09,NT,6400
2010-09,WA,51750
2010-09,VIC,93410
2010-09,SA,11820
2010-10,NSW,184540
2010-10,QLD,130130
2010-10,TAS,2810
2010-10,ACT,5490
2010-10,NT,5790
2010-10,WA,50220
2010-10,VIC,103230
2010-10,SA,12260
2010-11,NSW,194320
2010-11,QLD,126890
2010-11,TAS,3450
2010-11,ACT,4670
2010-11,NT,4460
2010-11,WA,56440
2010-11,VIC,113810
2010-11,SA,14060
2010-12,NSW,265450
2010-12,QLD,147690
2010-12,TAS,6100
2010-12,ACT,5750
2010-12,NT,4650
2010-12,WA,76360
2010-12,VIC,152220
2010-12,SA,20140
2011-01,NSW,196020
2011-01,QLD,96150
2011-01,TAS,4380
2011-01,ACT,4100
2011-01,NT,3690
2011-01,WA,48600
2011-01,VIC,107630
2011-01,SA,13210
2011-02,NSW,225040
2011-02,QLD,111790
2011-02,TAS,5910
2011-02,ACT,6830
2011-02,NT,4430
2011-02,WA,61160
2011-02,VIC,132050
2011-02,SA,17940
2011-03,NSW,196410
2011-03,QLD,102840
2011-03,TAS,3360
2011-03,ACT,4940
2011-03,NT,5450
2011-03,WA,55360
2011-03,VIC,116170
2011-03,SA,15560
2011-04,NSW,175120
2011-04,QLD,107820
2011-04,TAS,2870
2011-04,ACT,4500
2011-04,NT,5090
2011-04,WA,51890
2011-04,VIC,97950
2011-04,SA,15090
2011-05,NSW,141050
2011-05,QLD,100180
2011-05,TAS,2000
2011-05,ACT,3670
2011-05,NT,6300
2011-05,WA,39160
2011-05,VIC,83580
2011-05,SA,8570
2011-06,NSW,137620
2011-06,QLD,106370
2011-06,TAS,1670
2011-06,ACT,4210
2011-06,NT,5700
2011-06,WA,39800
2011-06,VIC,82930
2011-06,SA,9370
2011-07,NSW,175730
2011-07,QLD,151580
2011-07,TAS,2020
2011-07,ACT,6390
2011-07,NT,11000
2011-07,WA,45430
2011-07,VIC,100140
2011-07,SA,13340
2011-08,NSW,168820
2011-08,QLD,133510
2011-08,TAS,1630
2011-08,ACT,3880
2011-08,NT,7030
2011-08,WA,46720
2011-08,VIC,94720
2011-08,SA,10710
2011-09,NSW,161770
2011-09,QLD,113180
2011-09,TAS,2020
2011-09,ACT,5240
2011-09,NT,5730
2011-09,WA,48250
2011-09,VIC,83270
2011-09,SA,11590
2011-10,NSW,189450
2011-10,QLD,130510
2011-10,TAS,2880
2011-10,ACT,4930
2011-10,NT,5480
2011-10,WA,51200
2011-10,VIC,102540
2011-10,SA,12530
2011-11,NSW,195730
2011-11,QLD,118370
2011-11,TAS,4240
2011-11,ACT,6830
2011-11,NT,5020
2011-11,WA,60330
2011-11,VIC,118920
2011-11,SA,13310
2011-12,NSW,261820
2011-12,QLD,145190
2011-12,TAS,7380
2011-12,ACT,7260
2011-12,NT,3840
2011-12,WA,72770
2011-12,VIC,155980
2011-12,SA,20540
2012-01,NSW,193270
2012-01,QLD,107970
2012-01,TAS,4260
2012-01,ACT,4820
2012-01,NT,4060
2012-01,WA,53640
2012-01,VIC,117370
2012-01,SA,16600
2012-02,NSW,220150
2012-02,QLD,111560
2012-02,TAS,5730
2012-02,ACT,8100
2012-02,NT,5250
2012-02,WA,62100
2012-02,VIC,133920
2012-02,SA,18950
2012-03,NSW,208720
2012-03,QLD,119580
2012-03,TAS,3780
2012-03,ACT,5080
2012-03,NT,5270
2012-03,WA,60270
2012-03,VIC,125040
2012-03,SA,16080
2012-04,NSW,174500
2012-04,QLD,109590
2012-04,TAS,2520
2012-04,ACT,4760
2012-04,NT,5690
2012-04,WA,52470
2012-04,VIC,101560
2012-04,SA,13990
2012-05,NSW,143040
2012-05,QLD,99980
2012-05,TAS,2370
2012-05,ACT,3670
2012-05,NT,6530
2012-05,WA,41660
2012-05,VIC,87470
2012-05,SA,8720
2012-06,NSW,144940
2012-06,QLD,122310
2012-06,TAS,2400
2012-06,ACT,4340
2012-06,NT,7620
2012-06,WA,43730
2012-06,VIC,84970
2012-06,SA,10220
2012-07,NSW,169360
2012-07,QLD,147630
2012-07,TAS,2220
2012-07,ACT,6590
2012-07,NT,11040
2012-07,WA,45810
2012-07,VIC,103120
2012-07,SA,14090
2012-08,NSW,176510
2012-08,QLD,139920
2012-08,TAS,2320
2012-08,ACT,5180
2012-08,NT,9380
2012-08,WA,49540
2012-08,VIC,104180
2012-08,SA,11700
2012-09,NSW,162790
2012-09,QLD,137780
2012-09,TAS,2170
2012-09,ACT,6030
2012-09,NT,7330
2012-09,WA,52880
2012-09,VIC,94080
2012-09,SA,12420
2012-10,NSW,188560
2012-10,QLD,136660
2012-10,TAS,2890
2012-10,ACT,5690
2012-10,NT,7760
2012-10,WA,55440
2012-10,VIC,110700
2012-10,SA,13310
2012-11,NSW,205910
2012-11,QLD,131390
2012-11,TAS,3690
2012-11,ACT,5500
2012-11,NT,7300
2012-11,WA,63340
2012-11,VIC,125790
2012-11,SA,17190
2012-12,NSW,273250
2012-12,QLD,153780
2012-12,TAS,6910
2012-12,ACT,7920
2012-12,NT,5250
2012-12,WA,78660
2012-12,VIC,169900
2012-12,SA,25640
2013-01,NSW,188870
2013-01,QLD,102450
2013-01,TAS,4760
2013-01,ACT,5690
2013-01,NT,4800
2013-01,WA,55130
2013-01,VIC,111750
2013-01,SA,15230
2013-02,NSW,238430
2013-02,QLD,128250
2013-02,TAS,7270
2013-02,ACT,8170
2013-02,NT,4710
2013-02,WA,63900
2013-02,VIC,146410
2013-02,SA,19840
2013-03,NSW,220950
2013-03,QLD,127570
2013-03,TAS,4540
2013-03,ACT,5010
2013-03,NT,6220
2013-03,WA,65890
2013-03,VIC,139930
2013-03,SA,18750
2013-04,NSW,176770
2013-04,QLD,103840
2013-04,TAS,2710
2013-04,ACT,4420
2013-04,NT,9190
2013-04,WA,50830
2013-04,VIC,100110
2013-04,SA,13660
2013-05,NSW,154600
2013-05,QLD,100580
2013-05,TAS,2340
2013-05,ACT,4160
2013-05,NT,6330
2013-05,WA,44580
2013-05,VIC,90680
2013-05,SA,10070
2013-06,NSW,161070
2013-06,QLD,123830
2013-06,TAS,1620
2013-06,ACT,4510
2013-06,NT,7240
2013-06,WA,46090
2013-06,VIC,93300
2013-06,SA,9860
2013-07,NSW,188040
2013-07,QLD,154760
2013-07,TAS,2250
2013-07,ACT,7240
2013-07,NT,7940
2013-07,WA,46770
2013-07,VIC,109520
2013-07,SA,14400
2013-08,NSW,190370
2013-08,QLD,142020
2013-08,TAS,2030
2013-08,ACT,4780
2013-08,NT,10720
2013-08,WA,53620
2013-08,VIC,112650
2013-08,SA,13140
2013-09,NSW,180970
2013-09,QLD,126130
2013-09,TAS,2140
2013-09,ACT,5410
2013-09,NT,7780
2013-09,WA,54410
2013-09,VIC,103720
2013-09,SA,13340
2013-10,NSW,205820
2013-10,QLD,137040
2013-10,TAS,3020
2013-10,ACT,5350
2013-10,NT,6490
2013-10,WA,57510
2013-10,VIC,112370
2013-10,SA,15150
2013-11,NSW,223960
2013-11,QLD,124010
2013-11,TAS,3920
2013-11,ACT,5140
2013-11,NT,4700
2013-11,WA,63200
2013-11,VIC,133040
2013-11,SA,20150
2013-12,NSW,308030
2013-12,QLD,155140
2013-12,TAS,7460
2013-12,ACT,7690
2013-12,NT,4760
2013-12,WA,89800
2013-12,VIC,189170
2013-12,SA,27700
2014-01,NSW,225950
2014-01,QLD,110450
2014-01,TAS,4900
2014-01,ACT,5370
2014-01,NT,4530
2014-01,WA,59800
2014-01,VIC,132120
2014-01,SA,19380
2014-02,NSW,261470
2014-02,QLD,121480
2014-02,TAS,5590
2014-02,ACT,8280
2014-02,NT,4550
2014-02,WA,67450
2014-02,VIC,145940
2014-02,SA,22870
2014-03,NSW,237870
2014-03,QLD,121090
2014-03,TAS,3760
2014-03,ACT,4560
2014-03,NT,5480
2014-03,WA,65920
2014-03,VIC,141520
2014-03,SA,20610
2014-04,NSW,203490
2014-04,QLD,114320
2014-04,TAS,3230
2014-04,ACT,4280
2014-04,NT,10830
2014-04,WA,59140
2014-04,VIC,116160
2014-04,SA,17090
2014-05,NSW,180320
2014-05,QLD,105520
2014-05,TAS,2270
2014-05,ACT,4360
2014-05,NT,6760
2014-05,WA,48140
2014-05,VIC,111450
2014-05,SA,14050
2014-06,NSW,166080
2014-06,QLD,114400
2014-06,TAS,1500
2014-06,ACT,4220
2014-06,NT,8070
2014-06,WA,49330
2014-06,VIC,101000
2014-06,SA,13300
2014-07,NSW,201340
2014-07,QLD,158600
2014-07,TAS,2210
2014-07,ACT,6390
2014-07,NT,12140
2014-07,WA,56760
2014-07,VIC,134700
2014-07,SA,17500
2014-08,NSW,194120
2014-08,QLD,147500
2014-08,TAS,2140
2014-08,ACT,5000
2014-08,NT,10350
2014-08,WA,50660
2014-08,VIC,116810
2014-08,SA,14320
2014-09,NSW,188280
2014-09,QLD,132020
2014-09,TAS,1930
2014-09,ACT,5030
2014-09,NT,8580
2014-09,WA,60000
2014-09,VIC,110730
2014-09,SA,15180
2014-10,NSW,210560
2014-10,QLD,145290
2014-10,TAS,3800
2014-10,ACT,6520
2014-10,NT,8490
2014-10,WA,62420
2014-10,VIC,132110
2014-10,SA,17470
2014-11,NSW,233180
2014-11,QLD,127140
2014-11,TAS,6020
2014-11,ACT,6390
2014-11,NT,7680
2014-11,WA,67350
2014-11,VIC,145420
2014-11,SA,17980
2014-12,NSW,314940
2014-12,QLD,162020
2014-12,TAS,9010
2014-12,ACT,9040
2014-12,NT,4480
2014-12,WA,88740
2014-12,VIC,195610
2014-12,SA,27970
2015-01,NSW,214350
2015-01,QLD,106810
2015-01,TAS,4960
2015-01,ACT,5980
2015-01,NT,3960
2015-01,WA,55370
2015-01,VIC,137520
2015-01,SA,18480
2015-02,NSW,281790
2015-02,QLD,136820
2015-02,TAS,7060
2015-02,ACT,9270
2015-02,NT,5250
2015-02,WA,71600
2015-02,VIC,189010
2015-02,SA,25260
2015-03,NSW,265090
2015-03,QLD,133500
2015-03,TAS,4780
2015-03,ACT,6520
2015-03,NT,5540
2015-03,WA,69950
2015-03,VIC,172420
2015-03,SA,21430
2015-04,NSW,206130
2015-04,QLD,118720
2015-04,TAS,2950
2015-04,ACT,4800
2015-04,NT,11090
2015-04,WA,59800
2015-04,VIC,129150
2015-04,SA,17510
2015-05,NSW,185950
2015-05,QLD,111290
2015-05,TAS,2400
2015-05,ACT,4260
2015-05,NT,5690
2015-05,WA,49060
2015-05,VIC,114570
2015-05,SA,12420
2015-06,NSW,171900
2015-06,QLD,120410
2015-06,TAS,2310
2015-06,ACT,4910
2015-06,NT,13620
2015-06,WA,50790
2015-06,VIC,113940
2015-06,SA,10270
2015-07,NSW,214220
2015-07,QLD,174460
2015-07,TAS,3320
2015-07,ACT,7900
2015-07,NT,12130
2015-07,WA,58880
2015-07,VIC,140420
2015-07,SA,16930
2015-08,NSW,213400
2015-08,QLD,146490
2015-08,TAS,2640
2015-08,ACT,4740
2015-08,NT,8210
2015-08,WA,55360
2015-08,VIC,129560
2015-08,SA,13730
2015-09,NSW,204230
2015-09,QLD,146070
2015-09,TAS,2910
2015-09,ACT,4980
2015-09,NT,6980
2015-09,WA,62750
2015-09,VIC,130300
2015-09,SA,13790
2015-10,NSW,226460
2015-10,QLD,151540
2015-10,TAS,3950
2015-10,ACT,6100
2015-10,NT,6690
2015-10,WA,62470
2015-10,VIC,152620
2015-10,SA,15970
2015-11,NSW,251080
2015-11,QLD,141970
2015-11,TAS,6060
2015-11,ACT,6320
2015-11,NT,5830
2015-11,WA,73050
2015-11,VIC,169380
2015-11,SA,17850
2015-12,NSW,350330
2015-12,QLD,176140
2015-12,TAS,9240
2015-12,ACT,7750
2015-12,NT,4060
2015-12,WA,94760
2015-12,VIC,231930
2015-12,SA,27090
2016-01,NSW,245020
2016-01,QLD,123610
2016-01,TAS,5550
2016-01,ACT,5180
2016-01,NT,3590
