year_month,state,arrivals
1993-07,QLD,71200
1993-07,TAS,910
1993-07,ACT,2590
1993-07,NT,3670
1993-07,WA,18680
1993-07,VIC,29150
1993-07,SA,5070
1993-08,NSW,103620
1993-08,QLD,79080
1993-08,TAS,790
1993-08,ACT,1280
1993-08,NT,3840
1993-08,WA,19780
1993-08,VIC,25440
1993-08,SA,3920
1993-09,NSW,99600
1993-09,QLD,65700
1993-09,TAS,850
1993-09,ACT,2600
1993-09,NT,2950
1993-09,WA,20390
1993-09,VIC,24720
1993-09,SA,5940
1993-10,NSW,125690
1993-10,QLD,73480
1993-10,TAS,1420
1993-10,ACT,2180
1993-10,NT,3200
1993-10,WA,21290
1993-10,VIC,31310
1993-10,SA,5550
1993-11,NSW,116820
1993-11,QLD,82340
1993-11,TAS,1950
1993-11,ACT,2190
1993-11,NT,2660
1993-11,WA,29800
1993-11,VIC,42390
1993-11,SA,7770
1993-12,NSW,142900
1993-12,QLD,93050
1993-12,TAS,3600
1993-12,ACT,3160
1993-12,NT,1940
1993-12,WA,38530
1993-12,VIC,51670
1993-12,SA,9190
1994-01,NSW,114520
1994-01,QLD,65050
1994-01,TAS,2190
1994-01,ACT,1460
1994-01,NT,1640
1994-01,WA,21620
1994-01,VIC,38270
1994-01,SA,5770
1994-02,NSW,134630
1994-02,QLD,82990
1994-02,TAS,2340
1994-02,ACT,2320
1994-02,NT,2270
1994-02,WA,29210
1994-02,VIC,43170
1994-02,SA,7360
1994-03,NSW,138580
1994-03,QLD,78410
1994-03,TAS,1250
1994-03,ACT,1780
1994-03,NT,2510
1994-03,WA,32650
1994-03,VIC,45380
1994-03,SA,6840
1994-04,NSW,118480
1994-04,QLD,68170
1994-04,TAS,1150
1994-04,ACT,2490
1994-04,NT,2740
1994-04,WA,23950
1994-04,VIC,32280
1994-04,SA,5870
1994-05,NSW,91620
1994-05,QLD,69520
1994-05,TAS,1090
1994-05,ACT,1440
1994-05,NT,2470
1994-05,WA,20030
1994-05,VIC,25320
1994-05,SA,3460
1994-06,NSW,97760
1994-06,QLD,75650
1994-06,TAS,740
1994-06,ACT,1700
1994-06,NT,3490
1994-06,WA,21800
1994-06,VIC,26390
1994-06,SA,3400
1994-07,NSW,126810
1994-07,QLD,80290
1994-07,TAS,870
1994-07,ACT,2580
1994-07,NT,6160
1994-07,WA,25690
1994-07,VIC,34140
1994-07,SA,5970
1994-08,NSW,119140
1994-08,QLD,83670
1994-08,TAS,670
1994-08,ACT,1870
1994-08,NT,4630
1994-08,WA,24060
1994-08,VIC,27640
1994-08,SA,3760
1994-09,NSW,109200
1994-09,QLD,81480
1994-09,TAS,760
1994-09,ACT,2090
1994-09,NT,3950
1994-09,WA,23950
1994-09,VIC,27800
1994-09,SA,4730
1994-10,NSW,127760
1994-10,QLD,88050
1994-10,TAS,1160
1994-10,ACT,2150
1994-10,NT,5510
1994-10,WA,29520
1994-10,VIC,40960
1994-10,SA,6480
1994-11,NSW,131050
1994-11,QLD,89540
1994-11,TAS,1970
1994-11,ACT,2110
1994-11,NT,3570
1994-11,WA,32880
1994-11,VIC,41440
1994-11,SA,8430
1994-12,NSW,158500
1994-12,QLD,107820
1994-12,TAS,3800
1994-12,ACT,3020
1994-12,NT,3310
1994-12,WA,43800
1994-12,VIC,55940
1994-12,SA,7840
1995-01,NSW,133300
1995-01,QLD,87520
1995-01,TAS,2620
1995-01,ACT,2800
1995-01,NT,2330
1995-01,WA,27210
1995-01,VIC,41240
1995-01,SA,6750
1995-02,NSW,142740
1995-02,QLD,80650
1995-02,TAS,2260
1995-02,ACT,3380
1995-02,NT,2360
1995-02,WA,28120
1995-02,VIC,52460
1995-02,SA,6550
1995-03,NSW,137900
1995-03,QLD,86180
1995-03,TAS,1860
1995-03,ACT,2160
1995-03,NT,2720
1995-03,WA,30270
1995-03,VIC,43940
1995-03,SA,7640
1995-04,NSW,125210
1995-04,QLD,84590
1995-04,TAS,1880
1995-04,ACT,2440
1995-04,NT,3280
1995-04,WA,27780
1995-04,VIC,41690
1995-04,SA,6610
1995-05,NSW,102460
1995-05,QLD,82140
1995-05,TAS,1010
1995-05,ACT,1530
