iso3,short_run_FX_l0,p_value_l0,sig_l0,short_run_FX_l1,p_value_l1,sig_l1,phi_y_l1,p_value_phi,long_run_elasticity,effect_10pct_depr,nobs
NEW ZEALAND,-0.21092540059782827,0.2760145256192774,n.s.,0.619181222030158,0.001584031601251758,***,0.46202492693730024,7.194185132978635e-06,0.7588749774373811,0.07995506762280247,119
CHINA,0.6067464688998272,0.2326185963134597,n.s.,0.08851688932907997,0.8579968178228494,n.s.,0.8123722473419657,5.6988697539944746e-31,3.7055464790226256,0.3904163770298238,119
JAPAN,-0.3054637795948836,0.2722502549991427,n.s.,0.5857413211122822,0.02732352668553254,**,0.8172498528462047,4.2589940265059715e-65,1.5336652029151474,0.16158696577913992,119
